Name,Number,CP,HP,Move1,Move2,Height,Weight,Attack,Defence,Stamina,Total,Date,Form,Shiny,Level,Lucky,Trade

Tyranitar,248,2967,168,Bite,Crunch,1.669342,118.179779,14,10,15,39,1487895321,0,0,27.500000,0,0

Houndour,228,588,78,Ember,Crunch,0.670235,13.035656,12,15,15,42,1545636698,0,0,17.000000,0,0

Slugma,218,459,75,Ember,Rock Slide,0.773133,35.725632,6,14,7,27,1542633630,0,0,20.000000,0,0

Dusclops,356,1027,85,Hex,Ice Punch,1.154958,17.727821,13,15,14,42,1538376064,0,0,23.000000,0,0

Slakoth,287,540,101,Yawn,Brick Break,0.799299,30.781404,11,10,15,36,1538806604,0,0,20.000000,0,0

Pineco,204,453,78,Bug Bite,Rock Tomb,0.581862,6.243095,11,12,14,37,1543511665,0,0,15.000000,0,0

Omanyte,138,1406,94,Mud Shot,Ancient Power,0.392467,6.273176,13,15,13,41,1542752039,0,0,35.000000,0,1543495383069

Ariados,168,279,59,Poison Sting,Shadow Sneak,1.217782,37.645664,14,6,13,33,1487297684,0,0,6.000000,0,0

Chimchar,390,322,63,Ember,Flame Wheel,0.622213,8.667260,5,8,0,13,1541673232,0,0,14.000000,0,0

Haunter,93,411,49,Shadow Claw,Dark Pulse,1.796446,0.119519,8,14,4,26,1541085761,0,0,8.000000,0,0

Abomasnow,460,2022,163,Razor Leaf,Blizzard,1.999593,129.036331,15,9,15,39,1546098651,0,0,31.000000,0,0

Larvitar,246,182,51,Bite,Ancient Power,0.543752,59.819733,8,7,11,26,1546357408,0,0,7.000000,0,0

Gligar,207,277,53,Wing Attack,Dig,0.982512,47.259029,5,14,4,23,1546363097,0,0,6.000000,0,0

Treecko,252,567,78,Pound,Aerial Ace,0.426811,3.540806,11,11,12,34,1543785986,0,0,20.000000,0,0

Delibird,225,787,91,Present,Ice Punch,1.033474,22.499678,15,15,6,36,1545636148,0,0,26.000000,0,0

Typhlosion,157,2848,157,Ember,Blast Burn,1.153137,39.321865,15,15,15,45,1541198092,0,0,39.000000,0,0

Eevee,133,805,109,Tackle,Dig,0.274462,4.329151,14,13,12,39,1542552839,0,0,27.000000,1,1542643398719

Pinsir,127,443,55,Bug Bite,XScissor,1.524914,57.402794,4,0,11,15,1541245684,0,1,6.000000,0,0

Vaporeon,134,1706,171,Water Gun,Aqua Tail,0.945194,26.058638,13,13,14,40,1477336387,0,0,19.500000,0,0

Cloyster,91,1437,90,Ice Shard,Hydro Pump,1.511611,161.590469,14,11,15,40,1470417722,0,0,20.000000,0,0

Jolteon,135,1641,105,Thunder Shock,Thunderbolt,0.712588,20.399082,15,14,14,43,1476857560,0,0,20.000000,0,0

Larvitar,246,564,89,Bite,Stomp,0.600969,68.123207,12,11,12,35,1546425294,0,0,20.000000,0,0

Mareep,179,562,94,Thunder Shock,Thunderbolt,0.640673,7.334114,15,15,13,43,1545945217,0,0,20.000000,0,0

Smoochum,238,716,84,Powder Snow,Ice Punch,0.462150,7.061781,13,12,14,39,1546330170,0,0,20.000000,0,0

Hariyama,297,2430,229,Counter,Dynamic Punch,2.069695,189.863770,14,12,6,32,1539876014,0,0,32.000000,0,1539945752690

Graveler,75,1556,113,Mud Slap,Stone Edge,0.989853,87.912109,8,12,6,26,1536908447,69,0,32.000000,0,1539944258513

Pikachu,25,585,79,Thunder Shock,Thunderbolt,0.425635,6.669393,13,9,13,35,1540394446,0,0,23.000000,0,0

Gastly,92,640,63,Lick,Night Shade,1.259209,0.100107,14,4,1,19,1540990647,0,0,21.000000,0,0

Snubbull,209,330,71,Tackle,Dazzling Gleam,0.583554,8.613772,6,1,6,13,1545129621,0,0,11.000000,0,0

Muk,89,1513,145,PoisonJab,Dark Pulse,0.971449,49.146362,10,13,10,33,1540991362,76,0,20.000000,0,0

Remoraid,223,612,87,Water Gun,Rock Blast,0.608351,13.841568,2,8,15,25,1538413201,0,0,27.000000,0,0

Snover,459,78,33,Ice Shard,Stomp,0.938650,40.554848,11,9,1,21,1545895792,0,0,3.000000,0,0

Roselia,315,1119,89,Razor Leaf,Sludge Bomb,0.305189,1.733135,12,14,6,32,1543662939,0,0,22.000000,0,0

Tyrogue,236,275,72,Tackle,Brick Break,0.759339,29.301542,15,15,10,40,1546424552,0,0,20.000000,0,0

Magikarp,129,109,52,Splash,Struggle,0.771339,5.913314,5,14,6,25,1544344069,0,0,19.000000,0,0

Kingdra,230,1623,120,Waterfall,Outrage,1.939987,194.453705,14,12,11,37,1477430918,0,0,22.000000,0,0

Larvitar,246,718,99,Bite,Crunch,0.605607,74.152382,8,9,7,24,1543654827,0,0,27.000000,0,0

Cleffa,173,360,87,Zen Headbutt,Psyshock,0.292269,3.531603,11,15,10,36,1545945460,0,0,20.000000,0,0

Azurill,298,180,89,Bubble,Bubble Beam,0.179046,1.483421,10,10,12,32,1545504452,0,0,20.000000,0,0

Aggron,306,2614,137,Dragon Tail,Stone Edge,1.609622,193.729233,15,15,15,45,1545058925,0,0,31.000000,0,0

Snorlax,143,2879,257,Zen Headbutt,Earthquake,2.205387,629.987854,15,13,13,41,1481434916,0,0,33.000000,1,1538134274966

Slakoth,287,546,99,Yawn,Night Slash,0.867930,33.946396,12,13,11,36,1546452799,0,0,20.000000,0,0

Tyrogue,236,260,73,Rock Smash,Rock Slide,0.562482,11.301935,11,13,12,36,1546247826,0,0,20.000000,0,0

Phanpy,231,717,133,Tackle,Rock Slide,0.542615,40.009350,13,11,6,30,1540415359,0,0,22.000000,0,0

Feebas,349,132,56,Splash,Mirror Coat,0.599581,7.320592,10,10,10,30,1546332195,0,0,20.000000,0,0

Deoxys,386,1736,87,Charge Beam,Thunderbolt,1.911834,85.640739,14,10,10,34,1545395017,33,0,20.000000,0,0

Budew,406,473,79,Hidden Power,Energy Ball,0.193917,1.204021,14,11,13,38,1545467870,0,0,20.000000,0,0

Surskit,283,474,85,Bug Bite,Aqua Jet,0.568671,1.771872,11,6,13,30,1538338268,0,0,23.000000,0,0

Ditto,132,492,90,Transform,Struggle,0.271653,3.128312,10,3,4,17,1538063571,0,0,24.000000,0,0

Minun,312,1114,112,Quick Attack,Thunderbolt,0.378212,2.275260,4,12,14,30,1539876149,0,0,25.000000,0,0

Raichu,26,1279,99,Volt Switch,Psychic,0.714235,20.883532,15,11,12,38,1544123496,50,0,20.000000,0,0

Dewgong,87,1616,158,Frost Breath,Blizzard,1.535638,85.157661,13,15,13,41,1537031909,0,0,29.000000,1,1540997118485

Beldum,374,619,83,Take Down,Struggle,0.648802,102.589447,14,13,10,37,1540113070,0,0,23.000000,0,0

